Name,Email,Manager email,Start Date,Department,Team,Sub Team,Level,Function,Whitelisted Department,Whitelisted Job Title,Whitelisted Level
Jane Dev,email2@abccorp.com,email8@abccorp.com,2017/01/04,Payments,Transactions,Web,Level 1,Engineering,x,x,x
Jim Ray,email3@abccorp.com,email35@abccorp.com,2017/01/05,AI,Predictions,,Level 4,Engineering,x,x,x
John Doe,email4@abccorp.com,email29@abccorp.com,2017/01/06,AI,Generative,,Level 1,Engineering,,,
Abigail Fritz,email5@abccorp.com,email26@abccorp.com,2017/01/07,Integrations,Automotive,Sales,Level 2 ,Engineering,,,
Jeremy Jones,email6@abccorp.com,email26@abccorp.com,2017/01/08,Integrations,Home Services,,Level 3,Engineering,,,
Xi Ping,email7@abccorp.com,email24@abccorp.com,2017/01/09,Payments,Refunds,Web,Level 1,Engineering,"Note that either J, K, and L should ALL be included OR you can simply add a contributor column rather than those 3 that lets us know",,
Tara Kim,email8@abccorp.com,email30@abccorp.com,2017/01/10,Payments,Transactions,,Level 1,Engineering,,,
Amanda Harkness,email9@abccorp.com,email26@abccorp.com,2017/01/11,Integrations,Salesforce,,Level 1,,,,
Joey Ames,email10@abccorp.com,email8@abccorp.com,2018/01/01,Payments,Transactions,Web,Level 1,,,,
Amir Brady,email11@abccorp.com,email30@abccorp.com,2018/01/02,Payments,Refunds,,Level 1,,,,
Ryan Eyre,email12@abccorp.com,email28@abccorp.com,2018/01/03,Payments,Refunds,Mobile,Level 1,,,,
Miguel Garcia,email13@abccorp.com,email35@abccorp.com,2018/01/04,AI,Predictions,,Level 1,,,,
Anders Sanderson,email14@abccorp.com,email15@abccorp.com,2018/01/05,AI,,,Level 1,,,,
Joel Embiid,email15@abccorp.com,,2018/01/06,Engineering,,,,CTO,,,
Ichiro Suzuki,email16@abccorp.com,email35@abccorp.com,2018/01/07,AI,Predictions,,Level 2 ,,,,
Shreya Kumar,email17@abccorp.com,email28@abccorp.com,2018/01/08,Payments,Refunds,Mobile,Level 2 ,,,,
Eric Lepretre,email18@abccorp.com,email9@abccorp.com,2018/01/09,Integrations,Salesforce,,Level 2 ,,,,
Peter Bourgeouis,email19@abccorp.com,email6@abccorp.com,2018/01/10,Integrations,Home Services,,Level 2 ,,,,
Amanda Stokes,email20@abccorp.com,email24@abccorp.com,2018/01/11,Payments,Refunds,Web,Level 2 ,,,,
Marissa Gonzalez,email21@abccorp.com,email26@abccorp.com,2018/01/12,Integrations,Dental,,Level 2 ,,,,
Sammy Sosa,email22@abccorp.com,email24@abccorp.com,2019/01/01,Payments,Refunds,Web,Level 2 ,,,,
Shane Draper,email23@abccorp.com,,2019/01/02,Payments,Refunds,,Level 2 ,,,,
Drew Foster,email24@abccorp.com,email30@abccorp.com,2019/01/03,Payments,Refunds,,Level 2 ,,,,
Shaquille Walker,email25@abccorp.com,email30@abccorp.com,2019/01/04,Payments,Transactions,,Level 3,,,,
Sarah Darby,email26@abccorp.com,email15@abccorp.com,2019/01/05,Integrations,,,Level 4,,,,
Makenna Smith,email27@abccorp.com,email8@abccorp.com,2019/01/06,Payments,Transactions,Web,Level 3,,,,
Danielle Antczak,email28@abccorp.com,email30@abccorp.com,2019/01/07,Payments,Refunds,,Level 3,,,,
Ashlynn Brewer,email29@abccorp.com,email14@abccorp.com,2019/01/08,AI,,,Level 3,,,,
Whitney Hope,email30@abccorp.com,,2019/01/09,Payments,,,Level 3,,,,
Alan Nebeker,email31@abccorp.com,email29@abccorp.com,2019/01/10,AI,Generative,,Level 3,,,,
Kelly Lee,email32@abccorp.com,email6@abccorp.com,2019/01/11,Integrations,Home Services,,Level 3,,,,
Amy Forbursh,email33@abccorp.com,email29@abccorp.com,2019/01/12,AI,Generative,,Level 4,,,,
Christian Barfuss,email34@abccorp.com,email9@abccorp.com,2019/01/13,Integrations,Salesforce,,Level 4,,,,
Nico Plumer,email35@abccorp.com,email14@abccorp.com,2019/01/14,AI,,,Level 4,,,,
Greg Zingarelli,email36@abccorp.com,email26@abccorp.com,2019/01/15,Integrations,Service,,Level 1,,,,
Margaret Holyoak,email37@abccorp.com,email28@abccorp.com,2023/01/01,Payments,Refunds,Mobile,Level 4,,,,
Matt Lyman,email38@abccorp.com,email21@abccorp.com,2023/01/02,Integrations,Dental,,Level 4,,,,
Jason Jordan Rasmussen,email39@abccorp.com,email29@abccorp.com,2023/01/03,AI,Generative,,Level 4,,,,
Jordan Barnes,email40@abccorp.com,email21@abccorp.com,2023/01/04,Integrations,Dental,,Level 4,,,,
Ryan Hasler,email41@abccorp.com,email28@abccorp.com,2023/01/05,Payments,Refunds,Mobile,Level 5,,,,
Alta States,email42@abccorp.com,email5@abccorp.com,2023/01/06,Integrations,Automotive,Sales,Level 5,,,,
Tyrel James,email43@abccorp.com,email25@abccorp.com,2023/01/07,Payments,Transactions,Mobile,Level 5,,,,
Brady Auna,email44@abccorp.com,email5@abccorp.com,2023/01/08,Integrations,Automotive,Sales,Level 5,,,,
Sean Huckstep,email45@abccorp.com,email6@abccorp.com,2023/01/09,Integrations,Home Services,,Level 5,,,,
Carissa Carter,email46@abccorp.com,email36@abccorp.com,2023/01/10,Integrations,Automotive,Service,Level 5,,,,
Dan Bennion,email47@abccorp.com,email25@abccorp.com,2023/01/11,Payments,Transactions,Mobile,Level 5,,,,
